country,adm1_code,admin_level_1,year,farmer,nextserv,nremit,nborrow,nsocben,telephone,dsmall,vpfood,foodprod,totvp,totlivstvp,yield_vha,yieldwork,yield_total,yield_weha,yield_maha,yield_riha,foodexp,pcexp2,foodownp,foodcal,totincome,qchem_ha,femhead,agehead,snghead,msize,fsize,dextens,distance,sh_agin,shagwge,shoffarm,shtrans,shother,landop,TLU_total,dmachinery,shirrland,chemexp_ha,qfert_ha,fertexp_ha,qseed_ha,seedexp_ha,dtchadmem,shagprod_sold,shinput_vp,shfert_purch,shseed_purch,shchem_purch,dborrow,amloan,famldays,wfamldays,mfamldays,hlabdays,hlabwage,offlabday,offlabwage,hhsize,eduhead,dsocben,shsocben,dremit,remitt,dphone,TLU_agg_cattle,TLU_agg_poultry,TLU_agg_other,TLU_agg_equins,TLU_agg_pigs,TLU_agg_camels,TLU_agg_goats,var_type
Viet Nam,3389,Vinh Phuc,2002,218578.768,0.0,139182.14,6978.871,17940.15,7194.743,0.982,1215.982,2.117,1310.17,1388.73,4983.27,2.974,5583.626,,,,362.385,591.775,0.503,,5529.421,,0.167,45.849,0.111,2.296,2.474,,0.219,0.581,0.01,0.323,0.074,0.013,0.268,1.272,0.572,,98.025,,552.924,,289.078,,0.212,0.365,,,,0.032,437.368,1.698,1.173,0.518,0.027,,0.818,6.189,4.77,7.951,0.082,0.079,0.637,188.541,0.033,0.199,0.186,0.0,0.0,0.887,0.0,0.0,1
Viet Nam,3389,Vinh Phuc,2008,258220.0,4800.0,252172.0,90258.0,135466.0,5481.0,0.978,1141.04,1.412,1485.313,1959.513,5438.372,5.551,,,,,507.608,928.237,0.372,,7861.568,,0.194,49.377,0.109,2.174,2.278,0.019,,0.506,0.012,0.343,0.119,0.02,0.239,1.756,0.243,0.81,153.887,1414.277,973.398,,273.131,,0.321,0.387,,,,0.35,1040.245,1.379,0.881,0.498,0.019,9.866,1.167,10.275,4.453,8.412,0.525,0.014,0.977,546.597,0.025,0.18,0.297,0.0,0.0,1.278,0.0,0.0,1
Viet Nam,3390,Yen Bai,2002,112323.739,0.0,86447.321,7156.091,7017.622,2681.583,0.731,888.404,1.619,1362.179,921.203,2603.364,3.115,4862.576,,,,360.843,572.085,0.514,,5586.156,,0.209,43.242,0.129,2.152,2.334,,0.734,0.736,0.011,0.166,0.078,0.009,0.709,0.959,0.23,,113.336,,455.35,,179.055,,0.321,0.258,,,,0.064,616.189,1.61,0.909,0.701,0.04,2.155,0.419,6.339,4.486,6.478,0.062,0.125,0.77,218.77,0.024,0.124,0.126,0.0,0.0,0.708,0.0,0.0,1
Viet Nam,3390,Yen Bai,2008,135506.0,5933.0,135506.0,70487.0,22379.0,0.0,0.805,1611.383,1.855,2059.491,1428.305,3607.062,4.259,,,,,499.739,692.559,0.557,,6315.604,,0.149,44.756,0.062,2.38,2.39,0.044,,0.649,0.044,0.236,0.06,0.01,0.865,1.192,0.085,0.426,125.957,942.168,686.29,,179.38,,0.275,0.318,,,,0.52,1484.949,1.899,0.999,0.9,0.076,7.487,0.543,8.705,4.77,6.674,0.165,0.005,1.0,195.802,0.0,0.055,0.163,0.0,0.0,0.973,0.0,0.0,1
Kenya,51325,Central,2005,0.0,0.0,331082.765,226090.586,20969.845,478.871,,425.938,0.741,1277.444,558.207,928.402,7.776,3349.333,0.002,,,800.391,1275.293,0.253,2570.304,3868.069,,0.326,50.557,0.261,2.115,2.317,,,0.607,0.08,0.176,0.094,0.043,0.453,0.86,0.01,0.139,31.546,133.73,167.974,58.025,85.055,,0.369,0.488,0.716,0.706,,0.316,294.099,1.099,0.632,0.467,0.27,4.986,0.388,10.751,4.416,6.787,0.029,0.001,0.463,155.618,0.001,0.655,0.0,0.0,0.001,0.009,0.015,0.139,2
Kenya,51326,Coast,2005,0.0,0.0,68606.368,33129.613,41050.153,0.0,,417.165,0.752,433.843,131.522,482.302,29.075,567.134,0.001,,,581.493,766.048,0.165,2242.677,2752.978,,0.312,49.244,0.317,2.621,2.696,,,0.424,0.041,0.337,0.173,0.026,0.739,0.778,0.012,0.058,11.234,6.469,6.813,11.307,27.514,,0.159,0.246,0.066,0.496,,0.235,181.944,0.481,0.208,0.272,0.092,12.748,0.586,11.505,5.289,4.132,0.291,0.059,0.486,136.211,0.0,0.274,0.0,0.0,0.0,0.0,0.0,0.413,2
Kenya,51327,Eastern,2005,0.0,0.0,320786.356,172682.511,207069.478,235.9,,524.619,4.614,698.512,300.457,722.951,8.027,1413.378,0.011,,,638.564,933.56,0.235,2825.737,2392.254,,0.317,47.835,0.226,2.407,2.65,,,0.601,0.072,0.194,0.101,0.033,0.639,1.116,0.052,0.121,21.604,55.617,71.798,33.774,51.177,,0.267,0.386,0.44,0.689,,0.287,125.003,0.742,0.397,0.345,0.166,5.129,0.381,6.785,5.023,5.322,0.344,0.018,0.533,94.22,0.0,0.754,0.0,0.0,0.021,0.008,0.002,0.27,2
Kenya,51328,Nairobi,2005,0.0,0.0,1407.9,0.0,0.0,157.5,,1772.258,1.911,1772.364,65.265,814.146,39.691,8672.06,0.009,,,2849.152,18161.361,0.018,1730.833,16757.006,,0.049,47.804,0.058,1.194,0.558,,,0.136,0.034,0.743,0.046,0.042,0.244,0.207,0.079,0.058,2.1,38.796,423.379,72.293,109.328,,0.035,0.622,0.793,0.907,,0.0,0.0,0.073,0.037,0.037,0.17,19.837,1.107,6.929,1.751,10.078,0.0,0.0,0.083,156.653,0.009,0.0,0.0,0.0,0.0,0.041,0.0,0.0,2
Kenya,51329,North Eastern,2005,0.0,0.0,187.1,468.1,0.0,0.0,,242.276,0.611,242.276,362.005,535.124,1.09,535.124,0.001,,,443.131,498.837,0.101,1720.622,887.955,,0.276,53.644,0.211,3.044,2.818,,,0.737,0.077,0.115,0.006,0.065,0.587,1.596,0.502,1.0,23.884,1.171,3.593,17.535,11.747,,0.109,0.78,0.0,0.514,,0.044,14.019,1.033,0.103,0.93,0.034,5.089,0.06,,5.5,0.16,0.0,0.0,0.018,26.016,0.0,0.901,0.0,0.0,0.024,0.0,0.0,0.668,2
Kenya,51330,Nyanza,2005,0.0,0.0,442652.795,381154.477,28179.366,393.8,,333.697,0.502,729.11,229.121,653.727,8.128,1203.968,0.001,,,617.27,888.05,0.214,1555.122,2042.962,,0.411,47.397,0.29,2.228,2.466,,,0.605,0.043,0.181,0.123,0.048,0.505,1.074,0.017,0.008,2.98,61.365,82.683,14.537,44.399,,0.183,0.353,0.509,0.642,,0.492,95.625,0.564,0.321,0.242,0.085,5.218,0.36,6.613,4.68,6.062,0.036,0.003,0.571,111.56,0.001,0.869,0.0,0.0,0.004,0.003,0.0,0.129,2
Kenya,51331,Rift Valley,2005,0.0,0.0,236413.589,185931.796,86631.099,1037.2,,664.856,3.016,764.163,523.778,964.607,9.277,1334.218,0.005,,,603.563,967.187,0.263,1759.542,3085.385,,0.267,46.117,0.205,2.75,2.731,,,0.66,0.06,0.188,0.054,0.039,0.559,2.406,0.037,0.039,13.105,76.781,114.89,39.795,101.085,,0.258,0.495,0.639,0.806,,0.245,265.101,0.833,0.411,0.422,0.156,6.184,0.426,8.111,5.419,6.134,0.114,0.009,0.311,48.166,0.001,1.731,0.0,0.0,0.023,0.0,0.004,0.591,2
Kenya,51332,Western,2005,0.0,0.0,363582.317,169848.903,16763.611,1416.0,,376.511,0.636,1043.244,309.508,590.225,19.602,2985.586,0.001,,,634.062,976.379,0.219,1588.387,2316.037,,0.315,47.678,0.232,2.584,2.704,,,0.588,0.031,0.218,0.112,0.051,0.473,3.144,0.027,0.013,4.482,61.453,91.225,21.799,49.795,,0.17,0.426,0.545,0.713,,0.286,105.826,0.473,0.241,0.232,0.067,5.551,0.453,5.975,5.249,5.906,0.028,0.001,0.612,91.812,0.002,2.972,0.0,0.0,0.002,0.018,0.0,0.086,2
Uganda,3104,Adjumani,2005,0.0,674.7,2417.77,0.0,0.0,0.0,,191.729,0.914,240.471,21.892,305.163,4.117,388.517,,0.001,,211.376,457.804,0.335,,2317.043,,0.308,41.04,,2.522,3.438,0.096,2.101,0.313,0.153,0.433,0.088,0.014,1.16,1.087,,0.0,0.0,,4.608,,27.409,,0.141,0.11,,,,0.0,0.0,0.197,0.123,0.046,0.018,5.671,0.161,8.498,5.96,3.313,0.0,0.0,0.346,68.258,,0.874,0.032,0.0,0.0,0.0,0.0,0.213,2
Uganda,3104,Adjumani,2012,0.0,1525.039,2101.533,0.0,0.0,0.0,,1022.155,1.392,1100.768,23.957,843.73,5.931,914.011,,0.001,,231.862,279.584,,,1899.145,0.0,0.331,43.199,,2.999,2.505,0.405,1.344,0.654,0.038,0.159,0.149,0.0,1.839,1.496,0.0,0.0,0.0,0.0,0.0,64.016,33.259,,0.512,0.066,,,,0.0,,0.6,0.267,0.207,0.079,5.285,0.058,1.466,5.504,5.294,0.0,0.0,0.558,303.121,,0.783,0.029,0.0,0.0,0.0,0.0,0.548,2
Uganda,47067,Amolatar,2005,0.0,0.0,4299.24,1021.46,0.0,0.0,,374.276,1.384,390.127,138.386,430.442,4.056,454.967,,0.001,,420.737,763.391,0.524,,1798.622,,0.271,42.836,,2.309,2.462,0.0,5.768,0.53,0.094,0.329,0.047,0.0,1.355,2.608,,0.0,0.0,,0.0,,5.978,,0.376,0.023,,,,0.056,2.915,0.305,0.175,0.099,0.022,6.574,0.068,10.413,4.806,3.304,0.0,0.0,0.234,58.52,,2.417,0.025,0.0,0.0,0.0,0.0,0.191,2
Uganda,47067,Amolatar,2012,0.0,6577.4,0.0,0.0,0.0,0.0,,380.12,0.882,440.998,5.433,363.945,6.346,441.271,,0.001,,221.169,189.565,,,1143.911,0.0,0.102,32.627,,1.572,2.309,0.411,3.982,0.905,0.013,0.082,0.0,0.0,1.627,2.551,0.0,0.0,0.0,0.0,0.0,27.434,14.586,,0.433,0.068,,,,0.0,,0.22,0.046,0.176,0.053,2.713,0.1,17.508,4.084,11.982,0.0,0.0,0.0,0.0,,2.459,0.032,0.0,0.0,0.0,0.0,0.061,2
Uganda,47068,Amuria,2005,0.0,0.0,4299.24,1021.46,0.0,0.0,,374.276,1.384,390.127,138.386,430.442,4.056,454.967,,0.001,,420.737,763.391,0.524,,1798.622,,0.271,42.836,,2.309,2.462,0.0,5.768,0.53,0.094,0.329,0.047,0.0,1.355,2.608,,0.0,0.0,,0.0,,5.978,,0.376,0.023,,,,0.056,2.915,0.305,0.175,0.099,0.022,6.574,0.068,10.413,4.806,3.304,0.0,0.0,0.234,58.52,,2.417,0.025,0.0,0.0,0.0,0.0,0.191,2
Uganda,47068,Amuria,2012,0.0,873.059,22981.123,0.0,0.0,0.0,,2859.427,5.613,3112.389,3.055,1204.845,11.162,1312.169,,0.002,,340.598,306.624,,,4504.341,0.355,0.902,69.545,,4.0,1.536,0.033,4.417,0.669,0.0,0.098,0.074,0.158,2.255,0.333,0.0,0.0,1.666,0.0,0.0,99.806,18.939,,0.526,0.026,,,,0.0,,0.863,0.087,0.963,0.035,3.695,0.0,,5.536,0.685,0.0,0.0,0.862,364.028,,0.235,0.098,0.0,0.0,0.0,0.0,0.0,2
Uganda,747,Budaka,2005,0.0,0.0,4299.24,1021.46,0.0,0.0,,374.276,1.384,390.127,138.386,430.442,4.056,454.967,,0.001,,420.737,763.391,0.524,,1798.622,,0.271,42.836,,2.309,2.462,0.0,5.768,0.53,0.094,0.329,0.047,0.0,1.355,2.608,,0.0,0.0,,0.0,,5.978,,0.376,0.023,,,,0.056,2.915,0.305,0.175,0.099,0.022,6.574,0.068,10.413,4.806,3.304,0.0,0.0,0.234,58.52,,2.417,0.025,0.0,0.0,0.0,0.0,0.191,2
Uganda,747,Budaka,2012,0.0,0.0,936.512,0.0,0.0,0.0,,332.839,0.676,393.599,10.538,448.152,2.227,522.88,,0.001,,144.806,117.082,,,612.163,0.112,0.066,51.28,,2.73,3.211,0.0,0.54,0.848,0.062,0.072,0.018,0.0,0.872,2.04,0.0,0.0,2.14,0.0,0.0,36.006,32.433,,0.165,0.067,,,,0.0,,0.586,0.231,0.292,0.028,2.164,0.0,,6.456,4.527,0.0,0.0,0.095,6.266,,1.456,0.109,0.0,0.0,0.0,0.0,0.475,2
Uganda,3110,Busia,2005,0.0,4943.86,10345.69,3359.12,0.0,0.0,,534.389,1.473,567.426,111.704,822.948,4.081,819.457,,0.002,,288.145,650.912,0.512,,2714.295,,0.427,48.678,,3.048,3.221,0.181,5.192,0.576,0.011,0.296,0.097,0.021,0.887,0.47,,0.0,2.95,,0.0,,9.741,,0.294,0.013,,,,0.123,98.994,0.534,0.296,0.159,0.046,2.888,0.092,,6.269,4.015,0.0,0.0,0.379,220.883,,0.303,0.092,0.0,0.0,0.0,0.0,0.167,2
Uganda,3110,Busia,2012,0.0,3951.726,39655.877,0.0,0.0,0.0,,458.048,0.615,464.578,60.414,757.128,5.665,781.552,,0.001,,184.655,155.338,,,839.187,0.0,0.686,57.051,,1.668,3.045,0.078,1.818,0.622,0.004,0.093,0.275,0.006,0.745,0.644,0.0,0.0,1.025,0.0,0.0,21.339,17.672,,0.061,0.024,,,,0.0,,0.365,0.199,0.132,0.006,2.946,0.018,,4.726,2.77,0.0,0.0,0.785,141.712,,0.0,0.182,0.0,0.0,0.005,0.0,0.418,2
Uganda,47071,Butaleja,2005,0.0,0.0,4299.24,1021.46,0.0,0.0,,374.276,1.384,390.127,138.386,430.442,4.056,454.967,,0.001,,420.737,763.391,0.524,,1798.622,,0.271,42.836,,2.309,2.462,0.0,5.768,0.53,0.094,0.329,0.047,0.0,1.355,2.608,,0.0,0.0,,0.0,,5.978,,0.376,0.023,,,,0.056,2.915,0.305,0.175,0.099,0.022,6.574,0.068,10.413,4.806,3.304,0.0,0.0,0.234,58.52,,2.417,0.025,0.0,0.0,0.0,0.0,0.191,2
Uganda,47071,Butaleja,2012,0.0,547.943,2729.909,0.0,0.0,0.0,,524.555,1.119,528.618,0.0,1153.839,3.846,1160.566,,0.002,,198.74,165.297,,,583.87,0.0,0.053,46.556,,3.64,3.291,0.053,0.78,0.912,0.0,0.008,0.08,0.0,0.469,1.233,0.0,0.0,0.0,0.0,0.0,27.159,21.44,,0.004,0.049,,,,0.0,,0.563,0.317,0.148,0.009,2.501,0.058,,6.931,2.744,0.0,0.0,0.266,50.252,,0.753,0.166,0.0,0.0,0.0,0.0,0.096,2
Uganda,3112,Hoima,2005,0.0,3936.56,10416.87,1917.41,338.0,0.0,,594.442,1.857,3618.268,117.49,1050.17,26.296,5497.627,,0.003,,421.728,686.361,0.53,,4692.848,,0.192,42.635,,3.052,3.002,0.103,4.289,0.644,0.05,0.252,0.054,0.0,0.803,1.449,,0.043,3.717,,13.583,,23.751,,0.313,0.043,,,,0.05,15.181,0.587,0.375,0.177,0.046,9.937,0.188,4.466,6.054,4.554,0.009,0.018,0.272,90.177,,1.239,0.059,0.0,0.0,0.0,0.0,0.211,2
Uganda,3112,Hoima,2012,0.0,7762.227,11347.43,20327.452,0.0,0.0,,907.8,1.844,1822.698,29.503,938.879,11.547,1469.534,,0.002,,420.931,423.596,,,4238.14,0.025,0.2,46.467,,2.828,2.388,0.099,1.92,0.502,0.062,0.385,0.038,0.012,1.103,0.897,0.0,0.0,0.323,0.025,0.208,77.938,24.464,,0.264,0.025,,,,0.259,,0.841,0.35,0.285,0.026,5.206,0.078,4.218,5.255,4.971,0.0,0.0,0.145,48.028,,0.411,0.065,0.0,0.0,0.081,0.0,0.302,2
Uganda,47072,Ibanda,2005,0.0,0.0,4299.24,1021.46,0.0,0.0,,374.276,1.384,390.127,138.386,430.442,4.056,454.967,,0.001,,420.737,763.391,0.524,,1798.622,,0.271,42.836,,2.309,2.462,0.0,5.768,0.53,0.094,0.329,0.047,0.0,1.355,2.608,,0.0,0.0,,0.0,,5.978,,0.376,0.023,,,,0.056,2.915,0.305,0.175,0.099,0.022,6.574,0.068,10.413,4.806,3.304,0.0,0.0,0.234,58.52,,2.417,0.025,0.0,0.0,0.0,0.0,0.191,2
Uganda,47072,Ibanda,2012,0.0,6613.413,18137.726,0.0,0.0,0.0,,1554.843,2.329,1807.732,27.058,2450.179,6.9,2749.688,,0.004,,336.43,310.265,,,5480.32,0.501,0.585,49.186,,1.639,2.92,0.136,2.238,0.657,0.003,0.242,0.101,0.001,0.877,0.743,0.0,0.026,9.15,0.0,0.0,59.497,27.309,,0.299,0.013,,,,0.0,,0.823,0.715,0.126,0.106,2.794,0.096,4.221,4.559,4.74,0.0,0.0,0.374,296.432,,0.341,0.028,0.0,0.0,0.031,0.0,0.343,2
Uganda,47073,Isingiro,2005,0.0,0.0,4299.24,1021.46,0.0,0.0,,374.276,1.384,390.127,138.386,430.442,4.056,454.967,,0.001,,420.737,763.391,0.524,,1798.622,,0.271,42.836,,2.309,2.462,0.0,5.768,0.53,0.094,0.329,0.047,0.0,1.355,2.608,,0.0,0.0,,0.0,,5.978,,0.376,0.023,,,,0.056,2.915,0.305,0.175,0.099,0.022,6.574,0.068,10.413,4.806,3.304,0.0,0.0,0.234,58.52,,2.417,0.025,0.0,0.0,0.0,0.0,0.191,2
Uganda,47073,Isingiro,2012,0.0,14804.905,9372.3,0.0,0.0,0.0,,2163.742,3.858,2196.076,35.217,2172.248,8.971,2210.812,,0.004,,334.412,319.134,,,4960.244,0.0,0.27,40.704,,2.853,3.423,0.319,3.868,0.606,0.049,0.329,0.011,0.004,1.149,0.586,0.0,0.0,0.0,1.739,0.682,101.453,18.37,,0.34,0.008,,,,0.0,,0.852,0.51,0.28,0.027,2.502,0.036,5.983,6.308,5.817,0.0,0.0,0.202,37.589,,0.227,0.028,0.0,0.0,0.017,0.0,0.165,2
Uganda,3114,Jinja,2005,0.0,2521.88,8742.0,6510.78,0.0,0.0,,593.522,1.997,747.716,146.236,1068.966,5.082,1424.382,,0.004,,328.882,739.9,0.394,,2909.323,,0.33,41.49,,2.797,2.906,0.068,2.146,0.557,0.033,0.384,0.019,0.007,0.626,0.762,,0.004,5.823,,0.119,,13.645,,0.258,0.029,,,,0.175,122.384,0.495,0.316,0.079,0.023,6.774,0.251,4.448,5.689,4.128,0.0,0.0,0.236,130.153,,0.594,0.079,0.0,0.0,0.0,0.0,0.167,2
Uganda,3114,Jinja,2012,0.0,6529.515,7771.049,1106.422,0.0,0.0,,611.292,1.432,714.796,36.251,837.602,3.121,927.706,,0.002,,249.06,245.706,,,3356.808,5.357,0.355,45.418,,3.036,3.589,0.249,0.753,0.506,0.032,0.363,0.095,0.004,0.794,1.164,0.0,0.0,3.268,0.019,0.018,78.448,15.597,,0.173,0.027,,,,0.042,,0.749,0.273,0.269,0.019,2.509,0.115,6.095,6.624,5.083,0.0,0.0,0.297,60.977,,0.868,0.15,0.0,0.0,0.018,0.0,0.127,2
Uganda,47074,Kaabong,2005,0.0,0.0,4299.24,1021.46,0.0,0.0,,374.276,1.384,390.127,138.386,430.442,4.056,454.967,,0.001,,420.737,763.391,0.524,,1798.622,,0.271,42.836,,2.309,2.462,0.0,5.768,0.53,0.094,0.329,0.047,0.0,1.355,2.608,,0.0,0.0,,0.0,,5.978,,0.376,0.023,,,,0.056,2.915,0.305,0.175,0.099,0.022,6.574,0.068,10.413,4.806,3.304,0.0,0.0,0.234,58.52,,2.417,0.025,0.0,0.0,0.0,0.0,0.191,2
Uganda,47074,Kaabong,2012,0.0,3870.269,23160.929,723.566,0.0,0.0,,168.169,0.22,171.82,40.926,196.375,2.261,198.742,,0.0,,241.291,206.387,,,1334.737,0.0,0.685,52.671,,1.968,2.487,0.116,4.456,0.354,0.006,0.403,0.236,0.001,1.044,1.387,0.0,0.0,0.0,0.0,0.0,13.88,6.086,,0.034,0.041,,,,0.022,,0.261,0.0,0.117,0.045,1.399,0.033,6.784,4.454,0.664,0.0,0.0,0.694,113.424,,1.031,0.065,0.0,0.0,0.01,0.0,0.247,2
Uganda,3115,Kabale,2005,0.0,24827.35,28357.38,26719.86,209.09,0.0,,698.309,2.641,727.673,145.486,1110.866,4.411,1138.945,,0.001,,302.067,814.617,0.54,,3152.571,,0.255,43.106,,2.857,3.153,0.357,3.72,0.533,0.144,0.273,0.044,0.007,0.82,0.75,,0.019,6.929,,0.95,,60.041,,0.211,0.132,,,,0.384,54.243,0.52,0.331,0.082,0.107,3.929,0.217,17.547,5.951,3.821,0.003,0.006,0.408,67.598,,0.464,0.02,0.0,0.0,0.0,0.0,0.287,2
Uganda,3115,Kabale,2012,0.0,22853.371,27192.201,5560.456,0.0,0.0,,878.148,1.384,879.111,143.686,1357.848,4.001,1359.935,,0.002,,293.031,297.581,,,3372.63,0.274,0.37,50.357,,2.274,2.592,0.19,7.961,0.566,0.102,0.296,0.031,0.007,0.757,1.563,0.0,0.003,3.495,4.517,1.721,176.393,60.15,,0.199,0.075,,,,0.046,,0.723,0.417,0.173,0.053,3.354,0.088,12.305,5.019,4.778,0.0,0.0,0.226,36.56,,1.03,0.021,0.001,0.0,0.032,0.0,0.162,2
Uganda,42180,Kabarole,2005,0.0,5167.96,10149.16,3370.97,541.99,0.0,,892.902,3.639,1058.719,117.193,1669.218,28.127,2382.159,,0.006,,382.173,930.386,0.561,,2625.533,,0.372,42.611,,2.778,2.979,0.166,5.928,0.642,0.031,0.242,0.078,0.008,0.663,0.523,,0.0,16.128,,3.426,,31.209,,0.27,0.035,,,,0.108,77.169,0.543,0.405,0.101,0.046,5.253,0.211,74.709,5.757,4.614,0.017,0.014,0.326,170.676,,0.352,0.016,0.0,0.0,0.0,0.0,0.171,2
Uganda,42180,Kabarole,2012,0.0,6840.959,2236.405,4015.672,0.0,0.0,,917.829,3.006,1000.065,153.292,1558.037,5.981,1672.096,,0.004,,381.985,370.02,,,2838.523,0.045,0.379,45.945,,2.57,2.665,0.166,4.531,0.655,0.03,0.299,0.017,0.0,0.797,0.865,0.0,0.012,0.988,0.0,0.0,83.588,53.977,,0.236,0.047,,,,0.098,,0.647,0.298,0.297,0.049,4.344,0.076,5.749,5.431,6.181,0.0,0.0,0.054,110.093,,0.393,0.095,0.006,0.0,0.076,0.0,0.252,2
Uganda,42181,Kaberamaido,2005,0.0,0.0,2815.77,0.0,0.0,0.0,,114.973,,201.088,115.956,119.024,9.758,553.604,,0.0,,273.883,370.844,0.38,,481.296,,0.429,48.429,,3.0,3.143,0.0,2.095,0.638,0.152,0.071,0.139,0.0,0.812,1.593,,0.0,0.0,,0.0,,0.517,,0.006,0.01,,,,0.0,0.0,0.257,0.14,0.04,0.0,,0.0,,6.143,3.0,0.0,0.0,0.429,7.07,,1.393,0.07,0.0,0.0,0.0,0.0,0.2,2
Uganda,42181,Kaberamaido,2012,0.0,9230.226,10004.704,1385.743,65.524,0.0,,752.917,1.645,896.381,105.336,1053.063,5.168,1273.022,,0.002,,295.343,373.655,,,2808.865,0.34,0.324,45.713,,2.636,2.777,0.249,3.449,0.601,0.038,0.275,0.075,0.011,0.992,1.528,0.007,0.008,2.926,1.365,1.987,80.972,28.451,,0.266,0.045,,,,0.052,,0.606,0.249,0.217,0.053,3.346,0.077,9.468,5.469,5.077,0.002,0.001,0.297,100.318,,1.063,0.098,0.0,0.004,0.064,0.0,0.222,2
Uganda,3117,Kalangala,2005,0.0,586.36,1172.72,0.0,0.0,0.0,,396.632,1.119,399.012,38.072,1203.612,5.313,1207.175,,0.004,,659.888,1460.739,0.398,,3278.666,,0.5,40.75,,1.25,1.75,0.25,0.231,0.183,0.0,0.763,0.055,0.0,0.687,0.067,,0.0,0.0,,9.408,,23.948,,0.417,0.013,,,,0.0,0.0,0.23,0.187,0.031,0.046,2.119,0.44,5.711,3.0,4.75,0.0,0.0,0.5,240.328,,0.0,0.017,0.0,0.0,0.0,0.0,0.067,2
Uganda,3117,Kalangala,2012,0.0,9230.226,10004.704,1385.743,65.524,0.0,,752.917,1.645,896.381,105.336,1053.063,5.168,1273.022,,0.002,,295.343,373.655,,,2808.865,0.34,0.324,45.713,,2.636,2.777,0.249,3.449,0.601,0.038,0.275,0.075,0.011,0.992,1.528,0.007,0.008,2.926,1.365,1.987,80.972,28.451,,0.266,0.045,,,,0.052,,0.606,0.249,0.217,0.053,3.346,0.077,9.468,5.469,5.077,0.002,0.001,0.297,100.318,,1.063,0.098,0.0,0.004,0.064,0.0,0.222,2
Uganda,47075,Kaliro,2005,0.0,0.0,4299.24,1021.46,0.0,0.0,,374.276,1.384,390.127,138.386,430.442,4.056,454.967,,0.001,,420.737,763.391,0.524,,1798.622,,0.271,42.836,,2.309,2.462,0.0,5.768,0.53,0.094,0.329,0.047,0.0,1.355,2.608,,0.0,0.0,,0.0,,5.978,,0.376,0.023,,,,0.056,2.915,0.305,0.175,0.099,0.022,6.574,0.068,10.413,4.806,3.304,0.0,0.0,0.234,58.52,,2.417,0.025,0.0,0.0,0.0,0.0,0.191,2
Uganda,47075,Kaliro,2012,0.0,10926.682,996.118,0.0,0.0,0.0,,1035.7,2.131,1332.501,113.561,1057.371,4.813,1370.17,,0.002,,233.264,192.875,,,4891.406,0.163,0.028,38.197,,2.647,3.612,0.336,0.892,0.529,0.02,0.449,0.001,0.0,1.226,4.927,0.0,0.0,3.524,0.0,0.0,74.632,39.257,,0.546,0.042,,,,0.0,,0.908,0.306,0.387,0.012,10.527,0.06,4.414,6.288,7.507,0.0,0.0,0.031,3.452,,3.932,0.15,0.0,0.0,0.212,0.0,0.194,2
Uganda,42182,Kampala,2005,0.0,812.91,6965.47,4588.66,0.0,0.0,,344.948,1.018,379.8,390.231,886.94,7.237,1577.788,,0.003,,419.999,1469.446,0.078,,6568.611,,0.333,43.879,,3.12,4.361,0.04,1.346,0.207,0.062,0.669,0.054,0.008,0.552,0.501,,0.0,0.0,,0.0,,52.538,,0.194,0.118,,,,0.224,229.752,0.174,0.136,0.028,0.05,8.082,0.737,6.255,7.48,5.098,0.0,0.0,0.34,230.42,,0.364,0.015,0.0,0.0,0.0,0.0,0.137,2
Uganda,42182,Kampala,2012,0.0,2338.132,7337.633,0.0,0.0,0.0,,321.37,0.77,397.111,117.718,574.176,3.533,673.794,,0.001,,393.116,587.312,,,4454.379,0.0,0.606,43.197,,2.137,2.971,0.208,2.77,0.253,0.212,0.22,0.169,0.146,0.83,0.454,0.0,0.0,0.0,0.0,0.0,26.473,23.391,,0.217,0.05,,,,0.0,,0.375,0.168,0.107,0.086,2.835,0.152,9.65,5.107,6.552,0.0,0.0,0.652,421.64,,0.0,0.175,0.0,0.0,0.28,0.0,0.0,2
Uganda,42183,Kamwenge,2005,0.0,1730.04,10598.75,7554.92,0.0,0.0,,742.501,2.673,863.903,134.8,800.257,3.901,893.732,,0.003,,396.818,636.092,0.631,,1374.821,,0.262,41.264,,2.403,2.412,0.047,4.785,0.823,0.05,0.097,0.021,0.009,1.119,0.383,,0.0,3.54,,0.0,,6.507,,0.339,0.013,,,,0.207,13.498,0.716,0.42,0.224,0.055,2.74,0.036,5.674,4.815,3.51,0.0,0.0,0.291,29.067,,0.214,0.054,0.0,0.0,0.0,0.0,0.169,2
Uganda,42183,Kamwenge,2012,0.0,14666.709,0.0,8357.968,0.0,0.0,,994.059,2.228,1139.372,207.684,1385.197,5.894,1546.19,,0.003,,394.859,326.468,,,1668.69,0.006,0.323,42.453,,2.805,2.242,0.305,1.928,0.893,0.038,0.07,0.0,0.0,0.911,0.867,0.0,0.0,0.148,0.0,0.0,115.359,17.975,,0.42,0.014,,,,0.174,,0.932,0.407,0.283,0.057,4.006,0.04,14.819,5.239,3.675,0.0,0.0,0.0,0.0,,0.118,0.082,0.0,0.0,0.313,0.0,0.353,2
